01:11:08:145 [ALWAYS]	GUDE Logging Started
01:11:08:146 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:11:08:146 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:11:08:146 [ERROR]	Initialize resume cache pointer failure
01:11:08:146 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:11:08:146 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:11:09:645 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:11:09:645 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:11:09:645 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:11:09:645 [ERROR]	Initialize resume cache pointer failure
01:11:09:645 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:11:09:645 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
